name	type	units	sampling_frequency
MEG0113	megplanar	T/m	1000
MEG0112	megplanar	T/m	1000
MEG0111	megmag	T	1000
MEG0122	megplanar	T/m	1000
MEG0123	megplanar	T/m	1000
MEG0121	megmag	T	1000
MEG0132	megplanar	T/m	1000
MEG0133	megplanar	T/m	1000
MEG0131	megmag	T	1000
MEG0143	megplanar	T/m	1000
MEG0142	megplanar	T/m	1000
MEG0141	megmag	T	1000
MEG0213	megplanar	T/m	1000
MEG0212	megplanar	T/m	1000
MEG0211	megmag	T	1000
MEG0222	megplanar	T/m	1000
MEG0223	megplanar	T/m	1000
MEG0221	megmag	T	1000
MEG0232	megplanar	T/m	1000
MEG0233	megplanar	T/m	1000
MEG0231	megmag	T	1000
MEG0243	megplanar	T/m	1000
MEG0242	megplanar	T/m	1000
MEG0241	megmag	T	1000
MEG0313	megplanar	T/m	1000
MEG0312	megplanar	T/m	1000
MEG0311	megmag	T	1000
MEG0322	megplanar	T/m	1000
MEG0323	megplanar	T/m	1000
MEG0321	megmag	T	1000
MEG0333	megplanar	T/m	1000
MEG0332	megplanar	T/m	1000
MEG0331	megmag	T	1000
MEG0343	megplanar	T/m	1000
MEG0342	megplanar	T/m	1000
MEG0341	megmag	T	1000
MEG0413	megplanar	T/m	1000
MEG0412	megplanar	T/m	1000
MEG0411	megmag	T	1000
MEG0422	megplanar	T/m	1000
MEG0423	megplanar	T/m	1000
MEG0421	megmag	T	1000
MEG0432	megplanar	T/m	1000
MEG0433	megplanar	T/m	1000
MEG0431	megmag	T	1000
MEG0443	megplanar	T/m	1000
MEG0442	megplanar	T/m	1000
MEG0441	megmag	T	1000
MEG0513	megplanar	T/m	1000
MEG0512	megplanar	T/m	1000
MEG0511	megmag	T	1000
MEG0523	megplanar	T/m	1000
MEG0522	megplanar	T/m	1000
MEG0521	megmag	T	1000
MEG0532	megplanar	T/m	1000
MEG0533	megplanar	T/m	1000
MEG0531	megmag	T	1000
MEG0542	megplanar	T/m	1000
MEG0543	megplanar	T/m	1000
MEG0541	megmag	T	1000
MEG0613	megplanar	T/m	1000
MEG0612	megplanar	T/m	1000
MEG0611	megmag	T	1000
MEG0622	megplanar	T/m	1000
MEG0623	megplanar	T/m	1000
MEG0621	megmag	T	1000
MEG0633	megplanar	T/m	1000
MEG0632	megplanar	T/m	1000
MEG0631	megmag	T	1000
MEG0642	megplanar	T/m	1000
MEG0643	megplanar	T/m	1000
MEG0641	megmag	T	1000
MEG0713	megplanar	T/m	1000
MEG0712	megplanar	T/m	1000
MEG0711	megmag	T	1000
MEG0723	megplanar	T/m	1000
MEG0722	megplanar	T/m	1000
MEG0721	megmag	T	1000
MEG0733	megplanar	T/m	1000
MEG0732	megplanar	T/m	1000
MEG0731	megmag	T	1000
MEG0743	megplanar	T/m	1000
MEG0742	megplanar	T/m	1000
MEG0741	megmag	T	1000
MEG0813	megplanar	T/m	1000
MEG0812	megplanar	T/m	1000
MEG0811	megmag	T	1000
MEG0822	megplanar	T/m	1000
MEG0823	megplanar	T/m	1000
MEG0821	megmag	T	1000
MEG0913	megplanar	T/m	1000
MEG0912	megplanar	T/m	1000
MEG0911	megmag	T	1000
MEG0923	megplanar	T/m	1000
MEG0922	megplanar	T/m	1000
MEG0921	megmag	T	1000
MEG0932	megplanar	T/m	1000
MEG0933	megplanar	T/m	1000
MEG0931	megmag	T	1000
MEG0942	megplanar	T/m	1000
MEG0943	megplanar	T/m	1000
MEG0941	megmag	T	1000
MEG1013	megplanar	T/m	1000
MEG1012	megplanar	T/m	1000
MEG1011	megmag	T	1000
MEG1023	megplanar	T/m	1000
MEG1022	megplanar	T/m	1000
MEG1021	megmag	T	1000
MEG1032	megplanar	T/m	1000
MEG1033	megplanar	T/m	1000
MEG1031	megmag	T	1000
MEG1043	megplanar	T/m	1000
MEG1042	megplanar	T/m	1000
MEG1041	megmag	T	1000
MEG1112	megplanar	T/m	1000
MEG1113	megplanar	T/m	1000
MEG1111	megmag	T	1000
MEG1123	megplanar	T/m	1000
MEG1122	megplanar	T/m	1000
MEG1121	megmag	T	1000
MEG1133	megplanar	T/m	1000
MEG1132	megplanar	T/m	1000
MEG1131	megmag	T	1000
MEG1142	megplanar	T/m	1000
MEG1143	megplanar	T/m	1000
MEG1141	megmag	T	1000
MEG1213	megplanar	T/m	1000
MEG1212	megplanar	T/m	1000
MEG1211	megmag	T	1000
MEG1223	megplanar	T/m	1000
MEG1222	megplanar	T/m	1000
MEG1221	megmag	T	1000
MEG1232	megplanar	T/m	1000
MEG1233	megplanar	T/m	1000
MEG1231	megmag	T	1000
MEG1243	megplanar	T/m	1000
MEG1242	megplanar	T/m	1000
MEG1241	megmag	T	1000
MEG1312	megplanar	T/m	1000
MEG1313	megplanar	T/m	1000
MEG1311	megmag	T	1000
MEG1323	megplanar	T/m	1000
MEG1322	megplanar	T/m	1000
MEG1321	megmag	T	1000
MEG1333	megplanar	T/m	1000
MEG1332	megplanar	T/m	1000
MEG1331	megmag	T	1000
MEG1342	megplanar	T/m	1000
MEG1343	megplanar	T/m	1000
MEG1341	megmag	T	1000
MEG1412	megplanar	T/m	1000
MEG1413	megplanar	T/m	1000
MEG1411	megmag	T	1000
MEG1423	megplanar	T/m	1000
MEG1422	megplanar	T/m	1000
MEG1421	megmag	T	1000
MEG1433	megplanar	T/m	1000
MEG1432	megplanar	T/m	1000
MEG1431	megmag	T	1000
MEG1442	megplanar	T/m	1000
MEG1443	megplanar	T/m	1000
MEG1441	megmag	T	1000
MEG1512	megplanar	T/m	1000
MEG1513	megplanar	T/m	1000
MEG1511	megmag	T	1000
MEG1522	megplanar	T/m	1000
MEG1523	megplanar	T/m	1000
MEG1521	megmag	T	1000
MEG1533	megplanar	T/m	1000
MEG1532	megplanar	T/m	1000
MEG1531	megmag	T	1000
MEG1543	megplanar	T/m	1000
MEG1542	megplanar	T/m	1000
MEG1541	megmag	T	1000
MEG1613	megplanar	T/m	1000
MEG1612	megplanar	T/m	1000
MEG1611	megmag	T	1000
MEG1622	megplanar	T/m	1000
MEG1623	megplanar	T/m	1000
MEG1621	megmag	T	1000
MEG1632	megplanar	T/m	1000
MEG1633	megplanar	T/m	1000
MEG1631	megmag	T	1000
MEG1643	megplanar	T/m	1000
MEG1642	megplanar	T/m	1000
MEG1641	megmag	T	1000
MEG1713	megplanar	T/m	1000
MEG1712	megplanar	T/m	1000
MEG1711	megmag	T	1000
MEG1722	megplanar	T/m	1000
MEG1723	megplanar	T/m	1000
MEG1721	megmag	T	1000
MEG1732	megplanar	T/m	1000
MEG1733	megplanar	T/m	1000
MEG1731	megmag	T	1000
MEG1743	megplanar	T/m	1000
MEG1742	megplanar	T/m	1000
MEG1741	megmag	T	1000
MEG1813	megplanar	T/m	1000
MEG1812	megplanar	T/m	1000
MEG1811	megmag	T	1000
MEG1822	megplanar	T/m	1000
MEG1823	megplanar	T/m	1000
MEG1821	megmag	T	1000
MEG1832	megplanar	T/m	1000
MEG1833	megplanar	T/m	1000
MEG1831	megmag	T	1000
MEG1843	megplanar	T/m	1000
MEG1842	megplanar	T/m	1000
MEG1841	megmag	T	1000
MEG1912	megplanar	T/m	1000
MEG1913	megplanar	T/m	1000
MEG1911	megmag	T	1000
MEG1923	megplanar	T/m	1000
MEG1922	megplanar	T/m	1000
MEG1921	megmag	T	1000
MEG1932	megplanar	T/m	1000
MEG1933	megplanar	T/m	1000
MEG1931	megmag	T	1000
MEG1943	megplanar	T/m	1000
MEG1942	megplanar	T/m	1000
MEG1941	megmag	T	1000
MEG2013	megplanar	T/m	1000
MEG2012	megplanar	T/m	1000
MEG2011	megmag	T	1000
MEG2023	megplanar	T/m	1000
MEG2022	megplanar	T/m	1000
MEG2021	megmag	T	1000
MEG2032	megplanar	T/m	1000
MEG2033	megplanar	T/m	1000
MEG2031	megmag	T	1000
MEG2042	megplanar	T/m	1000
MEG2043	megplanar	T/m	1000
MEG2041	megmag	T	1000
MEG2113	megplanar	T/m	1000
MEG2112	megplanar	T/m	1000
MEG2111	megmag	T	1000
MEG2122	megplanar	T/m	1000
MEG2123	megplanar	T/m	1000
MEG2121	megmag	T	1000
MEG2133	megplanar	T/m	1000
MEG2132	megplanar	T/m	1000
MEG2131	megmag	T	1000
MEG2143	megplanar	T/m	1000
MEG2142	megplanar	T/m	1000
MEG2141	megmag	T	1000
MEG2212	megplanar	T/m	1000
MEG2213	megplanar	T/m	1000
MEG2211	megmag	T	1000
MEG2223	megplanar	T/m	1000
MEG2222	megplanar	T/m	1000
MEG2221	megmag	T	1000
MEG2233	megplanar	T/m	1000
MEG2232	megplanar	T/m	1000
MEG2231	megmag	T	1000
MEG2242	megplanar	T/m	1000
MEG2243	megplanar	T/m	1000
MEG2241	megmag	T	1000
MEG2312	megplanar	T/m	1000
MEG2313	megplanar	T/m	1000
MEG2311	megmag	T	1000
MEG2323	megplanar	T/m	1000
MEG2322	megplanar	T/m	1000
MEG2321	megmag	T	1000
MEG2332	megplanar	T/m	1000
MEG2333	megplanar	T/m	1000
MEG2331	megmag	T	1000
MEG2343	megplanar	T/m	1000
MEG2342	megplanar	T/m	1000
MEG2341	megmag	T	1000
MEG2412	megplanar	T/m	1000
MEG2413	megplanar	T/m	1000
MEG2411	megmag	T	1000
MEG2423	megplanar	T/m	1000
MEG2422	megplanar	T/m	1000
MEG2421	megmag	T	1000
MEG2433	megplanar	T/m	1000
MEG2432	megplanar	T/m	1000
MEG2431	megmag	T	1000
MEG2442	megplanar	T/m	1000
MEG2443	megplanar	T/m	1000
MEG2441	megmag	T	1000
MEG2512	megplanar	T/m	1000
MEG2513	megplanar	T/m	1000
MEG2511	megmag	T	1000
MEG2522	megplanar	T/m	1000
MEG2523	megplanar	T/m	1000
MEG2521	megmag	T	1000
MEG2533	megplanar	T/m	1000
MEG2532	megplanar	T/m	1000
MEG2531	megmag	T	1000
MEG2543	megplanar	T/m	1000
MEG2542	megplanar	T/m	1000
MEG2541	megmag	T	1000
MEG2612	megplanar	T/m	1000
MEG2613	megplanar	T/m	1000
MEG2611	megmag	T	1000
MEG2623	megplanar	T/m	1000
MEG2622	megplanar	T/m	1000
MEG2621	megmag	T	1000
MEG2633	megplanar	T/m	1000
MEG2632	megplanar	T/m	1000
MEG2631	megmag	T	1000
MEG2642	megplanar	T/m	1000
MEG2643	megplanar	T/m	1000
MEG2641	megmag	T	1000
STI001	analog trigger	V	1000
STI002	analog trigger	V	1000
STI003	analog trigger	V	1000
STI004	analog trigger	V	1000
STI005	analog trigger	V	1000
STI006	analog trigger	V	1000
STI007	analog trigger	V	1000
STI008	analog trigger	V	1000
STI009	analog trigger	V	1000
STI010	analog trigger	V	1000
STI011	analog trigger	V	1000
STI012	analog trigger	V	1000
STI013	analog trigger	V	1000
STI014	analog trigger	V	1000
EOG061	eog	V	1000
EOG062	eog	V	1000
ECG063	ecg	V	1000
MISC005	misc	V	1000
STI101	digital trigger	V	1000
STI201	other trigger	V	1000
STI301	other trigger	V	1000
MISC201	misc	V	1000
MISC202	misc	V	1000
MISC203	misc	V	1000
MISC204	misc	V	1000
MISC205	misc	V	1000
MISC206	misc	V	1000
MISC301	misc	V	1000
MISC302	misc	V	1000
MISC303	misc	V	1000
MISC304	misc	V	1000
MISC305	misc	V	1000
MISC306	misc	V	1000
CHPI001	unknown	unknown	1000
CHPI002	unknown	unknown	1000
CHPI003	unknown	unknown	1000
CHPI004	unknown	unknown	1000
CHPI005	unknown	unknown	1000
CHPI006	unknown	unknown	1000
CHPI007	unknown	unknown	1000
CHPI008	unknown	unknown	1000
CHPI009	unknown	unknown	1000
